Line,Date,Time,POT1 ,POT2 ,POT3 ,POT4 ,POT5 ,POT6 ,POTref ,PT1 ,PT2 ,PT3 ,PTref,I INA SPECTRO (mA),I INA OSCAR (mA),I INA MOTORS (mA),I INA BATT (mA),I INA DC_BUS (mA),I INA Q7 (mA),I INA 5V (mA),I INA 3V3 (mA),PD0 (V),PD1 (V),PD2 (V),PD3 (V),PD4 (V),PD5 (degC),PT0 (degC),PT1 (degC),PT2 (degC),PT3 (degC),PT4 (degC),PT5 (degC),PT6 (degC),PT7 (degC),T INA SPECTRO (degC),T INA OSCAR (degC),T INA MOTORS (degC),T INA BATT (degC),T INA DC_BUS (degC),T INA Q7 (degC),T INA 5V (degC),T INA 3V3 (degC)
0,2023/10/11,00:01:53,1515;2324;1651;2465;2637;2970;1997:1513;1513;1504;1181,,,,,,,,,,,1048575,63,0,0,2539,45,22,7,4.9072265625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.49572649572649,26.25152625152625,26.19047619047619,26.739926739926737,26.19047619047619,26.12942612942613,26.31257631257631,0.0,"32,0546875","31,3203125","35,2265625","35,265625","35,53125","35,2578125","35,40625","31,2734375"
1,2023/10/11,00:11:03,1516;2324;1651;2466;2636;2970;1997:1513;1513;1505;1181,,,,,,,,,,,1048575,63,0,0,2664,48,22,7,4.903564453125,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.556776556776555,26.434676434676437,26.25152625152625,26.8009768009768,26.25152625152625,26.31257631257631,26.31257631257631,0.0,"32,0859375","31,3515625","35,25","35,2890625","35,5703125","35,2890625","35,4296875","31,3203125"
2,2023/10/11,00:21:13,1516;2324;1650;2465;2636;2969;1997:1513;1514;1506;1181,,,,,,,,,,,0,62,0,0,2625,47,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,26.617826617826616,26.434676434676437,26.31257631257631,26.86202686202686,26.37362637362637,26.37362637362637,26.434676434676437,0.0,"32,109375","31,3984375","35,2890625","35,3359375","35,609375","35,34375","35,4609375","31,3515625"
3,2023/10/11,00:31:23,1516;2324;1650;2466;2636;2970;1997:1515;1514;1507;1181,,,,,,,,,,,0,62,0,0,2674,47,22,7,4.906005859375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.617826617826616,26.434676434676437,26.31257631257631,26.8009768009768,26.434676434676437,26.37362637362637,26.37362637362637,0.0,"32,171875","31,484375","35,34375","35,375","35,6796875","35,40625","35,5234375","31,421875"
4,2023/10/11,00:41:33,1517;2324;1650;2465;2636;2970;1997:1516;1515;1507;1181,,,,,,,,,,,0,62,0,0,2585,46,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.67887667887668,26.49572649572649,26.434676434676437,26.92307692307692,26.434676434676437,26.49572649572649,26.556776556776555,0.0,"32,21875","31,546875","35,4375","35,4765625","35,7421875","35,484375","35,6015625","31,484375"
5,2023/10/11,00:51:43,1517;2324;1650;2466;2636;2970;1997:1515;1516;1507;1181,,,,,,,,,,,1048575,62,0,0,2663,45,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.67887667887668,26.49572649572649,26.434676434676437,26.92307692307692,26.434676434676437,26.434676434676437,26.434676434676437,0.0,"32,2734375","31,5859375","35,4609375","35,5390625","35,7734375","35,5546875","35,671875","31,5390625"
6,2023/10/11,01:01:53,1515;2325;1650;2466;2638;2971;1997:1516;1516;1508;1181,,,,,,,,,,,0,62,0,0,2366,42,22,6,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.8009768009768,26.617826617826616,26.49572649572649,27.04517704517704,26.49572649572649,26.49572649572649,26.49572649572649,0.0,"32,2890625","31,6328125","35,515625","35,578125","35,828125","35,578125","35,7109375","31,5859375"
7,2023/10/11,01:12:03,1515;2323;1650;2465;2635;2968;1997:1516;1517;1508;1181,,,,,,,,,,,0,52,0,0,2523,46,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.86202686202686,26.617826617826616,26.49572649572649,27.04517704517704,26.49572649572649,26.556776556776555,26.556776556776555,0.0,"32,3359375","31,6484375","35,5390625","35,59375","35,859375","35,609375","35,734375","31,609375"
8,2023/10/11,01:22:13,1516;2323;1651;2466;2637;2970;1997:1516;1517;1509;1181,,,,,,,,,,,1048575,63,0,0,2580,47,22,7,4.903564453125,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.8009768009768,26.67887667887668,26.617826617826616,27.167277167277163,26.556776556776555,26.556776556776555,26.617826617826616,0.0,"32,3671875","31,6796875","35,5859375","35,625","35,8828125","35,6328125","35,7578125","31,6328125"
9,2023/10/11,01:32:23,1516;2323;1650;2465;2636;2968;1997:1517;1518;1509;1181,,,,,,,,,,,1048574,63,0,0,2526,48,22,7,4.906005859375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.86202686202686,26.617826617826616,26.556776556776555,27.04517704517704,26.49572649572649,26.556776556776555,26.617826617826616,0.0,"32,3984375","31,7109375","35,6171875","35,65625","35,90625","35,6484375","35,78125","31,6640625"
10,2023/10/11,01:42:33,1515;2325;1649;2465;2636;2968;1997:1517;1517;1510;1182,,,,,,,,,,,1048575,62,0,0,2642,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.92307692307692,26.8009768009768,26.67887667887668,27.167277167277163,26.67887667887668,26.617826617826616,26.617826617826616,0.0,"32,4140625","31,75","35,640625","35,671875","35,9375","35,6875","35,8203125","31,7109375"
11,2023/10/11,01:52:43,1516;2323;1650;2465;2635;2969;1997:1517;1518;1511;1182,,,,,,,,,,,1048575,62,0,0,2591,48,22,7,4.903564453125,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.92307692307692,26.739926739926737,26.67887667887668,27.228327228327224,26.8009768009768,26.67887667887668,26.739926739926737,0.0,"32,46875","31,78125","35,6875","35,734375","35,9765625","35,734375","35,859375","31,7421875"
