Line;Date;Time;POT1 ;POT2 ;POT3 ;POT4 ;POT5 ;POT6 ;POTref ;PT1 ;PT2 ;PT3 ;PTref
0;2023/10/10;16:29:56;1517;2325;1651;2466;2638;2975;1996;1463;1460;1460;1180
1;2023/10/10;16:30:57;1518;2326;1652;2466;2639;2976;1996;1463;1461;1459;1180
2;2023/10/10;16:31:58;1517;2326;1653;2467;2640;2975;1996;1464;1460;1460;1181
3;2023/10/10;16:32:59;1517;2325;1652;2466;2638;2974;1996;1465;1463;1460;1181
4;2023/10/10;16:34:00;1518;2324;1652;2468;2639;2975;1996;1464;1466;1461;1181
5;2023/10/10;16:45:43;1518;2326;1651;2466;2639;2976;1996;1470;1469;1462;1181
6;2023/10/10;16:46:44;1517;2324;1652;2467;2639;2974;1996;1470;1469;1462;1181
7;2023/10/10;16:47:45;1519;2327;1653;2468;2640;2974;1997;1470;1470;1463;1181
8;2023/10/10;16:48:46;1519;2326;1651;2466;2641;2976;1997;1470;1470;1463;1181
9;2023/10/10;16:49:47;1516;2322;1652;2466;2638;2974;1996;1471;1476;1465;1181
10;2023/10/10;16:50:48;1514;2324;1650;2466;2640;2973;1997;1472;1479;1464;1181
11;2023/10/10;16:51:49;1520;2326;1651;2466;2640;2975;1996;1472;1480;1465;1181
12;2023/10/10;16:52:50;1515;2325;1652;2466;2640;2975;1997;1474;1484;1466;1181
13;2023/10/10;16:53:51;1518;2326;1653;2468;2640;2976;1997;1474;1485;1465;1181
14;2023/10/10;16:54:52;1519;2325;1651;2464;2639;2976;1996;1476;1489;1466;1181
15;2023/10/10;16:55:53;1517;2324;1653;2466;2640;2974;1996;1476;1492;1466;1181
16;2023/10/10;16:56:54;1517;2325;1654;2466;2640;2974;1997;1476;1493;1467;1181
17;2023/10/10;16:57:55;1516;2325;1652;2467;2640;2975;1996;1478;1495;1467;1181
18;2023/10/10;16:58:56;1518;2327;1651;2468;2639;2976;1997;1481;1497;1467;1181
19;2023/10/10;16:59:57;1518;2327;1653;2466;2639;2976;1997;1479;1500;1468;1181
20;2023/10/10;17:00:58;1516;2325;1651;2468;2640;2975;1997;1482;1503;1469;1181
21;2023/10/10;17:01:59;1518;2324;1652;2467;2641;2976;1997;1482;1504;1469;1181
22;2023/10/10;17:03:00;1519;2326;1652;2467;2640;2974;1996;1484;1506;1470;1181
23;2023/10/10;17:04:01;1517;2325;1651;2466;2639;2974;1997;1484;1508;1471;1181
24;2023/10/10;17:05:02;1519;2326;1652;2468;2638;2974;1996;1485;1510;1471;1181
25;2023/10/10;17:06:03;1517;2325;1653;2467;2639;2975;1997;1486;1510;1472;1181
26;2023/10/10;17:07:04;1518;2326;1653;2467;2640;2974;1997;1488;1509;1472;1181
27;2023/10/10;17:08:05;1515;2326;1651;2464;2638;2975;1997;1488;1508;1474;1181
28;2023/10/10;17:09:06;1517;2325;1653;2465;2640;2974;1997;1488;1508;1474;1181
29;2023/10/10;17:10:07;1516;2326;1653;2466;2639;2976;1997;1489;1507;1474;1181
30;2023/10/10;17:11:08;1518;2326;1651;2467;2641;2976;1997;1490;1506;1475;1181
31;2023/10/10;17:12:09;1516;2326;1652;2467;2639;2974;1997;1490;1506;1475;1181
32;2023/10/10;17:13:10;1517;2325;1652;2466;2639;2974;1997;1491;1506;1477;1181
33;2023/10/10;17:14:11;1518;2328;1652;2467;2639;2976;1997;1491;1504;1477;1181
34;2023/10/10;17:15:12;1517;2325;1651;2466;2639;2974;1997;1491;1504;1478;1181
35;2023/10/10;17:16:13;1517;2327;1652;2465;2641;2977;1997;1492;1504;1478;1181
36;2023/10/10;17:17:14;1517;2320;1653;2468;2640;2975;1997;1492;1504;1479;1181
37;2023/10/10;17:18:15;1518;2325;1653;2466;2640;2976;1997;1493;1503;1479;1181
38;2023/10/10;17:19:16;1515;2325;1653;2468;2640;2974;1997;1493;1503;1481;1181
39;2023/10/10;17:20:17;1518;2326;1652;2467;2640;2976;1997;1494;1504;1480;1181
40;2023/10/10;17:21:18;1517;2326;1653;2465;2638;2973;1997;1494;1503;1481;1181
41;2023/10/10;17:22:19;1518;2325;1650;2468;2639;2976;1997;1494;1504;1481;1181
42;2023/10/10;17:23:20;1516;2326;1652;2467;2639;2975;1997;1495;1503;1482;1181
43;2023/10/10;17:24:21;1515;2326;1653;2466;2640;2974;1997;1495;1503;1482;1181
44;2023/10/10;17:25:22;1517;2324;1652;2467;2638;2974;1997;1496;1503;1483;1181
45;2023/10/10;17:26:23;1517;2326;1653;2467;2639;2975;1997;1497;1502;1483;1181
46;2023/10/10;17:27:24;1518;2324;1650;2466;2638;2974;1997;1497;1503;1484;1181
47;2023/10/10;17:28:25;1518;2325;1652;2467;2639;2975;1997;1497;1502;1484;1181
48;2023/10/10;17:29:26;1515;2325;1652;2467;2638;2976;1997;1498;1501;1484;1181
49;2023/10/10;17:30:27;1516;2323;1653;2465;2638;2974;1997;1497;1502;1485;1181
50;2023/10/10;17:31:28;1516;2325;1653;2467;2636;2974;1997;1497;1502;1485;1181
51;2023/10/10;17:32:29;1518;2325;1652;2466;2640;2975;1997;1498;1502;1485;1181
52;2023/10/10;17:33:30;1518;2325;1651;2466;2638;2973;1997;1497;1501;1486;1181
53;2023/10/10;17:34:31;1517;2326;1653;2467;2640;2976;1997;1498;1501;1485;1181
54;2023/10/10;17:35:32;1517;2326;1653;2465;2640;2976;1997;1497;1501;1486;1181
55;2023/10/10;17:36:33;1518;2326;1650;2466;2638;2974;1997;1497;1502;1487;1181
56;2023/10/10;17:37:34;1517;2327;1652;2466;2639;2974;1997;1497;1501;1486;1181
57;2023/10/10;17:38:35;1516;2324;1652;2467;2639;2974;1997;1498;1500;1486;1181
58;2023/10/10;17:39:36;1517;2325;1650;2466;2640;2973;1997;1497;1501;1488;1181
59;2023/10/10;17:40:37;1517;2324;1652;2466;2640;2973;1997;1497;1501;1487;1181
60;2023/10/10;17:41:38;1517;2323;1653;2466;2637;2975;1997;1497;1501;1488;1181
61;2023/10/10;17:42:39;1517;2323;1652;2465;2637;2975;1997;1498;1500;1487;1181
62;2023/10/10;17:43:40;1516;2325;1651;2467;2640;2973;1997;1498;1501;1487;1181
63;2023/10/10;17:44:41;1515;2325;1650;2466;2640;2973;1997;1496;1500;1488;1181
64;2023/10/10;17:45:42;1516;2323;1652;2468;2638;2973;1997;1497;1500;1488;1181
65;2023/10/10;17:46:43;1516;2324;1650;2466;2638;2975;1997;1497;1501;1488;1181
66;2023/10/10;17:47:44;1517;2324;1650;2466;2640;2973;1997;1498;1500;1488;1181
67;2023/10/10;17:48:45;1515;2323;1652;2466;2638;2974;1997;1497;1500;1488;1181
68;2023/10/10;17:49:46;1517;2323;1651;2466;2637;2974;1997;1496;1500;1488;1181
69;2023/10/10;17:50:47;1517;2324;1651;2466;2637;2973;1997;1497;1500;1488;1181
70;2023/10/10;17:51:48;1516;2325;1652;2465;2638;2974;1997;1497;1501;1489;1181
71;2023/10/10;17:52:49;1517;2326;1650;2466;2638;2973;1997;1497;1500;1489;1181
72;2023/10/10;17:53:50;1517;2325;1652;2465;2637;2974;1997;1496;1500;1489;1181
73;2023/10/10;17:54:51;1515;2323;1651;2464;2637;2974;1997;1497;1499;1489;1181
74;2023/10/10;17:55:52;1518;2326;1653;2466;2640;2975;1997;1498;1499;1488;1181
