Line; Date; Time; POT1 ; POT2 ; POT3 ; POT4 ; POT5 ; POT6 ; POTref ; PT1 ; PT2 ; PT3 ; PTref
0; 2023/10/11; 00:00:52; 1515; 2323; 1650; 2467; 2636; 2970; 1997; 1512; 1513; 1505; 1181
1; 2023/10/11; 00:01:53; 1515; 2324; 1651; 2465; 2637; 2970; 1997; 1513; 1513; 1504; 1181
2; 2023/10/11; 00:02:54; 1517; 2323; 1651; 2465; 2636; 2969; 1997; 1512; 1513; 1505; 1181
3; 2023/10/11; 00:03:55; 1516; 2324; 1651; 2465; 2637; 2970; 1997; 1513; 1512; 1505; 1182
4; 2023/10/11; 00:04:56; 1516; 2324; 1651; 2465; 2637; 2970; 1997; 1512; 1514; 1505; 1182
5; 2023/10/11; 00:05:57; 1516; 2324; 1650; 2466; 2637; 2970; 1997; 1513; 1514; 1505; 1181
6; 2023/10/11; 00:06:58; 1517; 2322; 1650; 2465; 2637; 2969; 1997; 1513; 1513; 1505; 1181
7; 2023/10/11; 00:07:59; 1516; 2322; 1651; 2466; 2635; 2970; 1997; 1513; 1513; 1505; 1181
8; 2023/10/11; 00:09:00; 1517; 2325; 1650; 2466; 2637; 2971; 1997; 1512; 1513; 1505; 1181
9; 2023/10/11; 00:10:02; 1516; 2323; 1651; 2466; 2636; 2970; 1997; 1513; 1513; 1505; 1181
10; 2023/10/11; 00:11:03; 1516; 2324; 1651; 2466; 2636; 2970; 1997; 1513; 1513; 1505; 1181
11; 2023/10/11; 00:12:04; 1516; 2323; 1651; 2466; 2636; 2970; 1997; 1513; 1513; 1505; 1181
12; 2023/10/11; 00:13:05; 1516; 2324; 1651; 2466; 2637; 2970; 1997; 1513; 1513; 1505; 1181
13; 2023/10/11; 00:14:06; 1517; 2324; 1651; 2466; 2637; 2970; 1997; 1513; 1514; 1505; 1181
14; 2023/10/11; 00:15:07; 1516; 2324; 1651; 2465; 2637; 2970; 1997; 1512; 1513; 1506; 1181
15; 2023/10/11; 00:16:08; 1516; 2323; 1650; 2465; 2636; 2970; 1997; 1513; 1513; 1506; 1181
16; 2023/10/11; 00:17:09; 1516; 2324; 1651; 2465; 2637; 2970; 1997; 1513; 1514; 1506; 1182
17; 2023/10/11; 00:18:10; 1516; 2324; 1650; 2466; 2637; 2970; 1997; 1514; 1514; 1506; 1181
18; 2023/10/11; 00:19:11; 1517; 2324; 1650; 2466; 2636; 2970; 1997; 1513; 1513; 1505; 1181
