Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
0;2023/10/11;15:45:42;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
1;2023/10/11;15:45:52;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
2;2023/10/11;15:46:02;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
3;2023/10/11;15:46:12;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
4;2023/10/11;15:46:22;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
5;2023/10/11;15:46:32;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
6;2023/10/11;15:46:42;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
7;2023/10/11;15:46:52;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
8;2023/10/11;15:47:02;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
9;2023/10/11;15:47:12;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
10;2023/10/11;15:47:22;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
11;2023/10/11;15:47:32;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
12;2023/10/11;15:47:42;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
13;2023/10/11;15:47:52;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
14;2023/10/11;15:48:02;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
15;2023/10/11;15:48:12;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
16;2023/10/11;15:48:22;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
17;2023/10/11;15:48:32;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
18;2023/10/11;15:48:42;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
19;2023/10/11;15:48:52;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
20;2023/10/11;15:49:02;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
21;2023/10/11;15:49:12;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
22;2023/10/11;15:49:22;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
23;2023/10/11;15:49:32;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
24;2023/10/11;15:49:42;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
25;2023/10/11;15:49:52;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
26;2023/10/11;15:50:02;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
27;2023/10/11;15:50:12;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
28;2023/10/11;15:50:22;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
29;2023/10/11;15:50:32;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
30;2023/10/11;15:50:42;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
31;2023/10/11;15:50:52;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.015869140625
