Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
0;2023/10/11;00:00:03;4018;12;11;12;11;12
1;2023/10/11;00:00:13;4017;12;11;11;11;11
2;2023/10/11;00:00:23;4018;12;11;11;11;11
3;2023/10/11;00:00:33;4016;12;11;11;11;12
4;2023/10/11;00:00:43;4016;12;11;11;11;12
5;2023/10/11;00:00:53;4018;12;11;11;11;12
6;2023/10/11;00:01:03;4018;12;11;11;11;12
7;2023/10/11;00:01:13;4019;12;11;11;11;12
8;2023/10/11;00:01:23;4018;12;11;11;11;12
9;2023/10/11;00:01:33;4017;12;11;12;11;12
10;2023/10/11;00:01:43;4018;12;11;11;11;12
11;2023/10/11;00:01:53;4019;12;11;11;11;12
12;2023/10/11;00:02:03;4017;12;11;11;11;12
13;2023/10/11;00:02:13;4018;12;11;12;11;12
14;2023/10/11;00:02:23;4016;12;11;11;11;12
15;2023/10/11;00:02:33;4019;12;11;11;11;12
16;2023/10/11;00:02:43;4020;12;11;11;11;12
17;2023/10/11;00:02:53;4015;12;11;11;11;12
18;2023/10/11;00:03:03;4018;12;11;11;11;12
19;2023/10/11;00:03:13;4017;12;11;11;11;12
20;2023/10/11;00:03:23;4018;12;11;11;11;12
21;2023/10/11;00:03:33;4018;12;11;12;11;12
22;2023/10/11;00:03:43;4017;12;11;12;11;12
23;2023/10/11;00:03:53;4017;12;11;11;11;12
24;2023/10/11;00:04:03;4019;12;11;12;11;12
25;2023/10/11;00:04:13;4015;12;11;11;11;12
26;2023/10/11;00:04:23;4019;12;11;11;11;12
27;2023/10/11;00:04:33;4018;12;11;11;11;12
28;2023/10/11;00:04:43;4019;12;11;11;11;12
29;2023/10/11;00:04:53;4018;11;11;11;11;12
30;2023/10/11;00:05:03;4017;12;11;11;11;12
31;2023/10/11;00:05:13;4017;12;11;11;11;12
32;2023/10/11;00:05:23;4017;12;11;11;11;12
33;2023/10/11;00:05:33;4016;12;11;11;11;11
34;2023/10/11;00:05:43;4018;12;11;11;11;12
35;2023/10/11;00:05:53;4017;12;11;11;11;12
36;2023/10/11;00:06:03;4017;12;11;11;11;11
37;2023/10/11;00:06:13;4018;12;11;11;12;11
38;2023/10/11;00:06:23;4017;12;11;11;11;12
39;2023/10/11;00:06:33;4016;12;11;12;11;12
40;2023/10/11;00:06:43;4017;12;11;11;11;12
41;2023/10/11;00:06:53;4016;12;11;11;11;12
42;2023/10/11;00:07:03;4020;12;11;11;11;12
43;2023/10/11;00:07:13;4018;12;11;11;11;12
44;2023/10/11;00:07:23;4016;12;11;11;11;12
45;2023/10/11;00:07:33;4017;12;11;11;11;12
46;2023/10/11;00:07:43;4018;12;11;11;11;12
47;2023/10/11;00:07:53;4019;12;11;12;11;12
48;2023/10/11;00:08:03;4017;12;11;11;11;11
49;2023/10/11;00:08:13;4018;12;11;11;11;12
50;2023/10/11;00:08:23;4019;12;11;12;11;12
51;2023/10/11;00:08:33;4018;12;11;11;11;12
52;2023/10/11;00:08:43;4019;12;11;11;11;12
53;2023/10/11;00:08:53;4017;12;11;12;11;11
54;2023/10/11;00:09:03;4016;12;11;11;11;12
55;2023/10/11;00:09:13;4019;12;11;11;11;12
56;2023/10/11;00:09:23;4018;12;11;11;11;12
57;2023/10/11;00:09:33;4017;12;11;11;12;12
58;2023/10/11;00:09:43;4016;12;11;11;11;12
59;2023/10/11;00:09:53;4017;12;11;11;11;11
60;2023/10/11;00:10:03;4017;12;11;11;11;12
61;2023/10/11;00:10:13;4019;12;11;11;11;12
62;2023/10/11;00:10:23;4016;12;11;11;11;12
63;2023/10/11;00:10:33;4016;12;11;11;11;12
64;2023/10/11;00:10:43;4015;12;11;12;11;12
65;2023/10/11;00:10:53;4017;12;11;11;11;12
66;2023/10/11;00:11:03;4016;12;11;11;11;12
67;2023/10/11;00:11:13;4019;12;11;11;11;12
68;2023/10/11;00:11:23;4016;12;11;11;11;11
69;2023/10/11;00:11:33;4017;12;11;11;11;12
70;2023/10/11;00:11:43;4018;12;11;11;11;12
71;2023/10/11;00:11:53;4015;12;11;11;12;12
72;2023/10/11;00:12:03;4018;12;11;11;11;12
73;2023/10/11;00:12:13;4017;12;11;11;11;12
