Line;Date;Time;PT0 (degC);PT1 (degC);PT2 (degC);PT3 (degC);PT4 (degC);PT5 (degC);PT6 (degC);PT7 (degC)
0;2023/10/10;16:29:05;370;370;370;370;370;369;370;0
1;2023/10/10;16:29:15;371;370;367;370;370;368;370;0
2;2023/10/10;16:29:25;371;369;369;370;369;368;370;0
3;2023/10/10;16:29:35;370;370;369;369;359;368;370;0
4;2023/10/10;16:29:45;371;369;369;369;371;368;369;0
5;2023/10/10;16:29:55;370;370;369;369;369;369;370;0
6;2023/10/10;16:30:05;370;370;369;370;370;368;369;0
7;2023/10/10;16:30:15;371;370;370;370;370;370;369;0
8;2023/10/10;16:30:25;370;369;370;370;380;366;369;0
9;2023/10/10;16:30:35;370;370;370;370;369;368;370;0
10;2023/10/10;16:30:45;370;370;369;370;370;368;369;0
11;2023/10/10;16:30:55;371;369;369;370;371;368;369;0
12;2023/10/10;16:31:05;370;369;368;370;357;368;370;0
13;2023/10/10;16:31:15;371;369;370;369;371;368;369;0
14;2023/10/10;16:31:25;371;370;369;370;372;369;370;0
15;2023/10/10;16:31:35;371;369;368;370;372;369;370;0
16;2023/10/10;16:31:45;371;369;369;370;372;367;369;0
17;2023/10/10;16:31:55;371;370;369;370;372;368;371;0
18;2023/10/10;16:32:05;371;368;370;369;371;368;370;0
19;2023/10/10;16:32:15;370;367;370;369;371;369;369;0
20;2023/10/10;16:32:25;372;369;372;370;372;368;370;0
21;2023/10/10;16:32:35;370;369;374;371;372;369;371;0
22;2023/10/10;16:32:45;372;370;374;371;374;369;370;0
23;2023/10/10;16:32:55;370;370;374;370;372;369;369;0
24;2023/10/10;16:33:05;372;370;378;371;374;369;370;0
25;2023/10/10;16:33:15;372;369;379;371;374;370;371;0
26;2023/10/10;16:33:25;372;371;381;371;374;369;370;0
27;2023/10/10;16:33:35;372;370;382;372;374;370;369;0
28;2023/10/10;16:33:45;372;371;383;372;365;372;369;0
29;2023/10/10;16:33:55;372;370;384;372;370;377;369;0
30;2023/10/10;16:34:05;372;370;385;372;376;372;370;0
31;2023/10/10;16:34:15;372;370;386;372;376;376;372;0
32;2023/10/10;16:44:53;379;376;381;381;377;376;376;0
33;2023/10/10;16:45:02;379;376;380;381;377;376;377;0
34;2023/10/10;16:45:12;379;374;380;381;378;377;377;0
35;2023/10/10;16:45:22;380;376;380;381;377;377;377;0
36;2023/10/10;16:45:32;379;376;380;381;377;376;376;0
37;2023/10/10;16:45:42;380;377;380;380;365;376;378;0
38;2023/10/10;16:45:52;380;377;381;380;378;372;378;0
39;2023/10/10;16:46:02;379;374;380;380;376;376;376;0
40;2023/10/10;16:46:12;379;376;380;381;359;376;377;0
41;2023/10/10;16:46:22;380;377;380;381;378;377;377;0
42;2023/10/10;16:46:32;380;374;380;381;378;377;378;0
43;2023/10/10;16:46:42;379;377;380;381;379;376;377;0
44;2023/10/10;16:46:52;381;377;380;381;384;377;377;0
45;2023/10/10;16:47:02;380;376;380;381;379;377;377;0
46;2023/10/10;16:47:12;380;376;379;382;379;377;377;0
47;2023/10/10;16:47:22;380;376;379;382;380;377;377;0
48;2023/10/10;16:47:32;380;376;379;381;380;376;377;0
49;2023/10/10;16:47:42;379;377;380;381;380;378;377;0
50;2023/10/10;16:47:52;379;376;380;380;380;376;377;0
51;2023/10/10;16:48:02;379;376;380;381;380;376;377;0
52;2023/10/10;16:48:12;379;376;382;381;380;377;376;0
53;2023/10/10;16:48:22;381;377;384;381;380;377;377;0
54;2023/10/10;16:48:32;381;377;385;383;382;377;378;0
55;2023/10/10;16:48:42;381;377;385;382;381;378;378;0
56;2023/10/10;16:48:52;380;378;387;383;381;377;377;0
57;2023/10/10;16:49:02;381;377;389;383;381;378;378;0
58;2023/10/10;16:49:12;380;376;389;383;381;378;377;0
59;2023/10/10;16:49:22;382;377;393;384;383;379;378;0
60;2023/10/10;16:49:32;381;378;394;383;384;379;378;0
61;2023/10/10;16:49:42;381;377;394;384;383;381;379;0
62;2023/10/10;16:49:52;382;378;395;384;383;381;379;0
63;2023/10/10;16:50:02;381;378;398;384;383;382;378;0
64;2023/10/10;16:50:12;380;376;398;384;383;380;378;0
65;2023/10/10;16:50:22;382;376;400;384;384;381;377;0
66;2023/10/10;16:50:32;383;377;401;385;384;383;379;0
67;2023/10/10;16:50:42;383;378;402;385;384;382;379;0
68;2023/10/10;16:50:52;382;377;404;386;385;383;379;0
69;2023/10/10;16:51:02;382;377;406;386;385;383;379;0
70;2023/10/10;16:51:12;383;378;407;386;385;383;380;0
71;2023/10/10;16:51:22;384;378;408;387;385;384;379;0
72;2023/10/10;16:51:32;383;378;408;386;385;382;379;0
73;2023/10/10;16:51:42;383;378;411;388;386;384;381;0
74;2023/10/10;16:51:52;384;379;410;386;391;384;379;0
75;2023/10/10;16:52:02;384;380;412;388;385;384;379;0
76;2023/10/10;16:52:12;384;379;414;391;387;386;381;0
77;2023/10/10;16:52:22;383;378;413;389;385;384;380;0
78;2023/10/10;16:52:32;384;378;414;389;386;385;380;0
79;2023/10/10;16:52:42;385;379;417;391;388;384;382;0
80;2023/10/10;16:52:52;384;379;417;389;389;384;381;0
81;2023/10/10;16:53:02;384;379;418;391;387;388;382;0
82;2023/10/10;16:53:12;384;380;418;391;387;388;380;0
83;2023/10/10;16:53:22;385;379;419;391;388;385;380;0
84;2023/10/10;16:53:32;386;379;420;393;387;387;381;0
85;2023/10/10;16:53:42;386;381;423;394;391;387;383;0
86;2023/10/10;16:53:52;386;379;423;394;388;387;382;0
87;2023/10/10;16:54:02;387;381;424;394;399;388;384;0
88;2023/10/10;16:54:12;388;379;426;395;395;389;383;0
89;2023/10/10;16:54:22;387;380;424;395;388;388;381;0
90;2023/10/10;16:54:32;388;380;428;395;391;395;383;0
91;2023/10/10;16:54:42;389;382;428;395;391;391;383;0
92;2023/10/10;16:54:52;389;381;429;398;391;393;384;0
93;2023/10/10;16:55:02;389;381;430;397;391;393;384;0
94;2023/10/10;16:55:12;389;382;431;398;391;391;384;0
95;2023/10/10;16:55:22;388;381;431;397;391;391;382;0
96;2023/10/10;16:55:32;389;381;431;398;387;391;383;0
97;2023/10/10;16:55:42;389;382;431;399;391;391;384;0
98;2023/10/10;16:55:52;389;381;433;399;391;391;384;0
99;2023/10/10;16:56:02;391;382;433;400;391;394;384;0
100;2023/10/10;16:56:12;391;383;433;401;394;395;386;0
101;2023/10/10;16:56:22;391;383;435;401;393;395;385;0
102;2023/10/10;16:56:32;391;382;435;401;393;394;384;0
103;2023/10/10;16:56:42;391;382;437;401;393;395;384;0
104;2023/10/10;16:56:52;394;384;437;402;395;395;386;0
105;2023/10/10;16:57:02;393;383;439;402;393;395;384;0
106;2023/10/10;16:57:12;394;382;437;404;394;395;386;0
107;2023/10/10;16:57:22;394;384;440;405;395;397;387;0
108;2023/10/10;16:57:32;395;384;440;405;395;398;386;0
109;2023/10/10;16:57:42;393;384;440;404;394;399;386;0
110;2023/10/10;16:57:52;395;384;441;406;394;397;387;0
111;2023/10/10;16:58:02;395;383;441;406;394;397;387;0
112;2023/10/10;16:58:12;395;385;442;407;395;399;387;0
113;2023/10/10;16:58:22;395;384;443;406;395;399;386;0
114;2023/10/10;16:58:32;395;385;444;407;395;400;387;0
115;2023/10/10;16:58:42;397;386;445;409;395;401;389;0
116;2023/10/10;16:58:52;398;385;448;409;397;400;388;0
117;2023/10/10;16:59:02;397;385;446;409;397;401;391;0
118;2023/10/10;16:59:12;397;386;446;410;397;399;389;0
119;2023/10/10;16:59:22;398;387;449;410;398;401;391;0
120;2023/10/10;16:59:32;398;386;448;410;395;400;389;0
121;2023/10/10;16:59:42;399;388;450;412;397;401;391;0
122;2023/10/10;16:59:52;398;386;450;410;395;401;389;0
123;2023/10/10;17:00:02;399;388;450;412;398;404;391;0
124;2023/10/10;17:00:12;399;387;450;412;398;404;391;0
125;2023/10/10;17:00:22;399;387;450;412;397;402;391;0
126;2023/10/10;17:00:32;401;388;452;414;397;404;391;0
127;2023/10/10;17:00:42;400;387;452;413;398;402;391;0
128;2023/10/10;17:00:52;399;387;452;414;398;405;391;0
129;2023/10/10;17:01:02;399;388;453;413;397;402;393;0
130;2023/10/10;17:01:12;400;388;453;414;398;404;393;0
131;2023/10/10;17:01:22;401;389;454;414;398;404;391;0
132;2023/10/10;17:01:32;402;387;456;416;401;405;394;0
133;2023/10/10;17:01:42;401;389;456;417;400;406;394;0
134;2023/10/10;17:01:52;402;391;456;417;400;406;394;0
135;2023/10/10;17:02:02;401;391;457;417;400;406;394;0
136;2023/10/10;17:02:12;404;391;458;418;400;407;395;0
137;2023/10/10;17:02:22;402;391;459;418;400;408;395;0
138;2023/10/10;17:02:32;404;391;459;420;401;407;398;0
139;2023/10/10;17:02:42;404;391;458;418;400;406;395;0
140;2023/10/10;17:02:52;406;391;460;419;401;409;397;0
141;2023/10/10;17:03:02;404;393;460;419;400;406;395;0
142;2023/10/10;17:03:12;405;394;460;420;401;408;395;0
143;2023/10/10;17:03:22;405;394;462;420;401;408;398;0
144;2023/10/10;17:03:32;407;395;462;421;401;411;395;0
145;2023/10/10;17:03:42;407;395;463;423;401;409;397;0
146;2023/10/10;17:03:52;406;393;461;421;401;409;398;0
