Line; Date; Time; I INA SPECTRO (mA); I INA OSCAR (mA); I INA MOTORS (mA); I INA BATT (mA); I INA DC_BUS (mA); I INA Q7 (mA); I INA 5V (mA); I INA 3V3 (mA)
0; 2023/10/10; 16:29:05; 1048575; 63; 0; 0; 2352; 44; 17; 7
1; 2023/10/10; 16:29:15; 1048575; 62; 10114; 0; 4376; 46; 22; 7
2; 2023/10/10; 16:29:25; 0; 62; 10140; 0; 4414; 46; 22; 7
3; 2023/10/10; 16:29:35; 1048575; 62; 11734; 0; 4734; 47; 22; 7
4; 2023/10/10; 16:29:45; 1048575; 62; 22274; 0; 6743; 46; 23; 7
5; 2023/10/10; 16:29:55; 0; 62; 20378; 0; 6377; 48; 22; 7
6; 2023/10/10; 16:30:05; 1048575; 62; 20947; 0; 6396; 49; 22; 7
7; 2023/10/10; 16:30:15; 1048575; 62; 20101; 0; 6007; 42; 22; 6
8; 2023/10/10; 16:30:25; 0; 62; 22364; 0; 7310; 57; 63; 7
9; 2023/10/10; 16:30:35; 1048574; 62; 22380; 0; 6761; 49; 23; 7
10; 2023/10/10; 16:30:45; 0; 52; 11495; 0; 4703; 45; 22; 7
11; 2023/10/10; 16:30:55; 0; 52; 11409; 0; 4640; 47; 22; 7
12; 2023/10/10; 16:31:05; 0; 52; 10970; 0; 4268; 47; 22; 6
13; 2023/10/10; 16:31:15; 0; 62; 12417; 0; 4578; 45; 22; 6
14; 2023/10/10; 16:31:25; 0; 62; 9843; 0; 4126; 42; 22; 6
15; 2023/10/10; 16:31:35; 0; 62; 0; 0; 2931; 54; 64; 6
16; 2023/10/10; 16:31:45; 0; 62; 0; 0; 2390; 44; 22; 6
17; 2023/10/10; 16:31:55; 27213; 63; 10508; 0; 15003; 47; 22; 6
18; 2023/10/10; 16:32:05; 27041; 62; 10176; 0; 14767; 52; 22; 6
19; 2023/10/10; 16:32:15; 27083; 62; 12097; 0; 15376; 51; 22; 6
20; 2023/10/10; 16:32:25; 29277; 62; 11990; 0; 16207; 51; 22; 6
21; 2023/10/10; 16:32:35; 28796; 62; 11930; 0; 16128; 53; 22; 6
22; 2023/10/10; 16:32:45; 27464; 62; 11922; 0; 15696; 58; 22; 6
23; 2023/10/10; 16:32:55; 28087; 62; 11882; 0; 15896; 58; 22; 6
24; 2023/10/10; 16:33:05; 28267; 63; 11861; 0; 15549; 48; 22; 6
25; 2023/10/10; 16:33:15; 28439; 63; 11841; 0; 16053; 51; 22; 6
26; 2023/10/10; 16:33:25; 27503; 62; 11856; 0; 15421; 49; 22; 6
27; 2023/10/10; 16:33:35; 28736; 62; 11778; 0; 16045; 56; 22; 6
28; 2023/10/10; 16:33:45; 29110; 62; 11752; 0; 16518; 59; 22; 6
29; 2023/10/10; 16:33:55; 28019; 62; 11779; 0; 15876; 58; 22; 6
30; 2023/10/10; 16:34:05; 29344; 63; 11767; 0; 16250; 52; 22; 6
31; 2023/10/10; 16:34:15; 29615; 62; 11771; 0; 16269; 54; 22; 6
32; 2023/10/10; 16:44:53; 1048575; 63; 0; 0; 2440; 45; 17; 7
33; 2023/10/10; 16:45:02; 1048575; 62; 11314; 0; 4592; 47; 22; 7
34; 2023/10/10; 16:45:12; 1048574; 62; 11217; 0; 4573; 47; 22; 7
35; 2023/10/10; 16:45:22; 0; 62; 9563; 0; 4227; 45; 22; 7
36; 2023/10/10; 16:45:32; 0; 62; 21255; 0; 6422; 50; 22; 7
37; 2023/10/10; 16:45:42; 1048575; 62; 19618; 0; 6108; 46; 22; 7
38; 2023/10/10; 16:45:52; 1048575; 62; 20109; 0; 6192; 46; 22; 7
39; 2023/10/10; 16:46:02; 0; 62; 22342; 0; 6451; 46; 23; 6
40; 2023/10/10; 16:46:12; 1048575; 62; 22403; 0; 7209; 58; 65; 7
41; 2023/10/10; 16:46:22; 1048575; 62; 0; 0; 2687; 47; 22; 7
42; 2023/10/10; 16:46:32; 0; 52; 9537; 0; 4152; 46; 22; 7
43; 2023/10/10; 16:46:42; 0; 52; 9922; 0; 4224; 45; 22; 7
44; 2023/10/10; 16:46:52; 1048575; 51; 11431; 0; 4479; 42; 22; 6
45; 2023/10/10; 16:47:02; 1048575; 62; 9332; 0; 4004; 43; 22; 6
46; 2023/10/10; 16:47:12; 1048575; 62; 0; 0; 2334; 44; 22; 6
47; 2023/10/10; 16:47:22; 0; 62; 0; 0; 3084; 57; 61; 6
48; 2023/10/10; 16:47:32; 0; 62; 0; 0; 2651; 47; 22; 6
49; 2023/10/10; 16:47:42; 28370; 62; 13358; 0; 15902; 48; 23; 6
50; 2023/10/10; 16:47:52; 28361; 62; 9588; 0; 15162; 48; 22; 6
51; 2023/10/10; 16:48:02; 28802; 62; 12037; 0; 16175; 58; 22; 6
52; 2023/10/10; 16:48:12; 28786; 62; 11966; 0; 16271; 53; 22; 6
53; 2023/10/10; 16:48:22; 28377; 63; 11931; 0; 16008; 57; 22; 6
54; 2023/10/10; 16:48:32; 29329; 62; 11868; 0; 16376; 58; 22; 6
