Line;Date;Time;I INA SPECTRO (mA);I INA OSCAR (mA);I INA MOTORS (mA);I INA BATT (mA);I INA DC_BUS (mA);I INA Q7 (mA);I INA 5V (mA);I INA 3V3 (mA)
0;2023/10/11;14:48:38;1048575;64;0;0;2502;44;12;7
1;2023/10/11;14:48:48;1048575;63;11618;0;4824;49;22;7
2;2023/10/11;14:48:58;1048575;63;24077;0;7014;51;23;7
3;2023/10/11;14:49:08;1048575;63;24055;0;6987;48;23;7
4;2023/10/11;14:49:18;1;63;23959;0;6982;47;23;7
5;2023/10/11;14:49:28;1048575;63;22341;0;6754;50;23;7
6;2023/10/11;14:49:38;1048575;62;23243;0;7600;64;62;7
7;2023/10/11;14:49:48;0;62;0;0;2685;47;22;7
8;2023/10/11;14:49:58;1048575;62;0;0;2692;45;22;7
9;2023/10/11;14:50:08;1048575;62;0;0;2705;49;22;7
10;2023/10/11;14:50:18;1048574;62;0;0;2400;44;22;6
11;2023/10/11;14:50:28;1048575;52;0;0;2559;48;22;7
12;2023/10/11;14:50:38;0;52;0;0;2585;45;22;7
13;2023/10/11;14:50:48;1048575;52;0;0;2662;47;22;7
14;2023/10/11;14:50:58;0;63;0;0;2724;49;22;7
15;2023/10/11;14:51:08;1048575;62;0;0;2723;47;22;7
16;2023/10/11;14:51:18;0;62;0;0;2553;45;22;7
17;2023/10/11;14:51:28;0;62;0;0;2406;41;22;6
18;2023/10/11;14:51:38;0;62;0;0;2598;48;22;7
19;2023/10/11;14:51:48;0;63;0;0;2660;48;22;7
20;2023/10/11;14:51:58;0;62;0;0;2709;47;22;7
21;2023/10/11;14:52:08;0;62;0;0;2693;45;22;7
22;2023/10/11;14:52:18;0;63;0;0;2682;48;22;7
23;2023/10/11;14:52:28;1;62;0;0;2598;48;22;7
24;2023/10/11;14:52:38;0;62;0;0;2478;46;22;6
25;2023/10/11;14:52:48;0;62;0;0;2667;46;22;7
26;2023/10/11;14:52:58;1048575;62;0;0;2711;49;22;7
27;2023/10/11;14:53:08;1048575;62;0;0;2790;50;22;7
28;2023/10/11;14:53:18;1048575;62;0;0;2753;46;22;7
29;2023/10/11;14:53:28;1048575;62;0;0;2552;45;22;7
30;2023/10/11;14:53:38;1048575;62;0;0;2569;48;22;7
31;2023/10/11;14:53:48;0;62;0;0;2380;42;22;6
32;2023/10/11;14:53:58;1048575;62;0;0;2585;46;22;7
33;2023/10/11;14:54:08;0;62;0;0;2634;46;22;7
34;2023/10/11;14:54:18;1048575;62;0;0;2715;48;22;7
35;2023/10/11;14:54:28;1048575;62;0;0;2694;49;22;7
36;2023/10/11;14:54:38;1048575;62;0;0;2673;46;22;7
37;2023/10/11;14:54:48;0;62;0;0;2534;45;22;7
38;2023/10/11;14:54:58;0;62;0;0;2430;41;22;6
39;2023/10/11;14:55:08;1048575;52;0;0;2568;49;22;7
40;2023/10/11;14:55:18;0;52;0;0;2628;47;22;7
41;2023/10/11;14:55:28;0;52;0;0;2677;45;22;7
42;2023/10/11;14:55:38;0;63;0;0;2678;47;22;7
43;2023/10/11;14:55:48;0;63;0;0;2537;49;22;7
44;2023/10/11;14:55:58;0;62;0;0;2569;45;22;7
45;2023/10/11;14:56:08;0;62;0;0;2399;41;22;6
46;2023/10/11;14:56:18;1048575;62;0;0;2585;49;22;7
47;2023/10/11;14:56:28;1048575;63;0;0;2590;46;22;7
48;2023/10/11;14:56:38;1048575;62;0;0;2704;46;22;7
49;2023/10/11;14:56:48;1048575;63;0;0;2687;46;22;7
50;2023/10/11;14:56:58;0;62;0;0;2602;48;22;7
51;2023/10/11;14:57:08;0;63;0;0;2569;50;22;7
52;2023/10/11;14:57:18;1048575;62;0;0;2399;44;22;6
53;2023/10/11;14:57:28;1048575;62;0;0;2581;50;22;7
54;2023/10/11;14:57:38;1048575;62;0;0;2616;49;22;7
55;2023/10/11;14:57:48;1048575;62;0;0;2724;49;22;7
56;2023/10/11;14:57:58;1048575;62;0;0;2690;46;22;7
57;2023/10/11;14:58:08;0;62;0;0;2567;45;22;7
58;2023/10/11;14:58:18;0;62;0;0;2571;48;22;7
59;2023/10/11;14:58:28;1048575;62;0;0;2380;45;22;6
60;2023/10/11;14:58:38;0;62;0;0;2550;45;22;7
61;2023/10/11;14:58:48;1048575;62;0;0;2630;45;22;7
62;2023/10/11;14:58:58;0;62;0;0;2637;49;22;7
63;2023/10/11;14:59:08;0;62;0;0;2556;45;22;7
64;2023/10/11;14:59:18;1048575;62;0;0;2547;47;22;7
65;2023/10/11;14:59:28;0;62;0;0;2557;45;22;7
66;2023/10/11;14:59:38;1048575;54;0;0;2336;42;22;6
67;2023/10/11;14:59:48;1048575;52;0;0;2528;48;22;7
68;2023/10/11;14:59:58;0;52;0;0;2554;45;22;7
69;2023/10/11;15:00:08;1048575;55;0;0;2507;48;22;7
70;2023/10/11;15:00:18;0;63;0;0;2704;48;22;7
71;2023/10/11;15:00:28;0;62;0;0;2665;48;22;7
72;2023/10/11;15:00:38;1048575;63;0;0;2550;46;22;7
73;2023/10/11;15:00:48;0;63;0;0;2456;43;22;6
74;2023/10/11;15:00:58;0;62;0;0;2653;48;22;7
75;2023/10/11;15:01:08;1048575;62;0;0;2715;49;22;7
76;2023/10/11;15:01:18;0;62;0;0;2786;47;22;7
77;2023/10/11;15:01:28;1048575;63;0;0;2763;45;22;7
78;2023/10/11;15:01:38;0;62;0;0;2552;49;22;7
79;2023/10/11;15:01:48;1048575;62;0;0;2554;49;22;7
80;2023/10/11;15:01:58;1048575;62;0;0;2422;44;22;6
81;2023/10/11;15:02:08;1048575;62;0;0;2585;45;22;7
82;2023/10/11;15:02:18;0;62;0;0;2593;48;22;7
83;2023/10/11;15:02:28;1048575;62;0;0;2713;49;22;7
84;2023/10/11;15:02:38;1048575;62;0;0;2707;46;22;7
85;2023/10/11;15:02:48;1048575;63;0;0;2672;45;22;7
86;2023/10/11;15:02:58;1048575;62;0;0;2555;45;22;7
87;2023/10/11;15:03:08;1048575;62;0;0;2383;44;22;6
88;2023/10/11;15:03:18;0;62;0;0;2549;47;22;7
89;2023/10/11;15:03:28;1048575;63;0;0;2573;45;22;7
90;2023/10/11;15:03:38;1048575;62;0;0;2643;47;22;7
91;2023/10/11;15:03:48;1048575;62;0;0;2700;48;22;7
92;2023/10/11;15:03:58;0;62;0;0;2665;48;22;7
93;2023/10/11;15:04:08;1;62;0;0;2536;46;22;7
94;2023/10/11;15:04:18;0;52;0;0;2357;42;22;6
95;2023/10/11;15:04:28;0;52;0;0;2528;47;22;7
96;2023/10/11;15:04:38;0;52;0;0;2650;48;22;7
97;2023/10/11;15:04:48;0;51;0;0;2643;47;22;7
98;2023/10/11;15:04:58;1048575;63;0;0;2692;45;22;7
99;2023/10/11;15:05:08;1048575;63;0;0;2685;47;22;7
100;2023/10/11;15:05:18;1048575;63;0;0;2651;45;22;7
101;2023/10/11;15:05:28;1048575;63;0;0;2461;46;22;6
