Line; Date; Time; T INA SPECTRO (degC); T INA OSCAR (degC); T INA MOTORS (degC); T INA BATT (degC); T INA DC_BUS (degC); T INA Q7 (degC); T INA 5V (degC); T INA 3V3 (degC)
0; 2023/10/10; 16:29:06; 25,2890625; 24,8828125; 27,9140625; 27,8984375; 28,1484375; 27,90625; 28,0390625; 24,7734375
1; 2023/10/10; 16:29:15; 25,3984375; 25,0078125; 28,015625; 27,96875; 28,234375; 27,9921875; 28,125; 24,875
2; 2023/10/10; 16:29:25; 25,4609375; 25,1171875; 28,0859375; 28,0390625; 28,3125; 28,0546875; 28,203125; 24,96875
3; 2023/10/10; 16:29:35; 25,546875; 25,234375; 28,1875; 28,1171875; 28,40625; 28,1328125; 28,3203125; 25,0625
4; 2023/10/10; 16:29:45; 25,6328125; 25,296875; 28,3125; 28,2109375; 28,5234375; 28,2421875; 28,3984375; 25,1328125
5; 2023/10/10; 16:29:55; 25,6953125; 25,4453125; 28,4921875; 28,3359375; 28,6796875; 28,390625; 28,5859375; 25,234375
6; 2023/10/10; 16:30:05; 25,84375; 25,609375; 28,640625; 28,4921875; 28,8203125; 28,5390625; 28,7421875; 25,3125
7; 2023/10/10; 16:30:15; 25,9375; 25,7421875; 28,796875; 28,625; 28,9921875; 28,6796875; 28,921875; 25,4453125
8; 2023/10/10; 16:30:25; 26,046875; 25,828125; 28,9609375; 28,7890625; 29,1484375; 28,84375; 29,0625; 25,5390625
9; 2023/10/10; 16:30:35; 26,1484375; 25,9609375; 29,125; 28,9375; 29,3046875; 28,9921875; 29,2265625; 25,6328125
10; 2023/10/10; 16:30:45; 26,2734375; 26,0078125; 29,1953125; 29,0703125; 29,3828125; 29,109375; 29,3046875; 25,71875
11; 2023/10/10; 16:30:55; 26,34375; 26,0390625; 29,2421875; 29,1796875; 29,453125; 29,1953125; 29,359375; 25,7734375
12; 2023/10/10; 16:31:05; 26,40625; 26,0703125; 29,328125; 29,2578125; 29,5234375; 29,28125; 29,4453125; 25,7890625
13; 2023/10/10; 16:31:15; 26,4609375; 26,1484375; 29,390625; 29,3359375; 29,609375; 29,34375; 29,53125; 25,8515625
14; 2023/10/10; 16:31:25; 26,5234375; 26,1875; 29,453125; 29,4375; 29,734375; 29,4375; 29,609375; 25,90625
15; 2023/10/10; 16:31:35; 26,578125; 26,1796875; 29,484375; 29,515625; 29,75; 29,5234375; 29,6328125; 25,9296875
16; 2023/10/10; 16:31:45; 26,609375; 26,1796875; 29,5703125; 29,5859375; 29,828125; 29,578125; 29,6953125; 25,953125
17; 2023/10/10; 16:31:55; 26,9921875; 26,3984375; 29,5859375; 29,609375; 29,8984375; 29,6484375; 29,7578125; 26,0625
18; 2023/10/10; 16:32:05; 27,921875; 27,3515625; 29,796875; 29,765625; 30,078125; 29,8125; 29,9609375; 26,7578125
19; 2023/10/10; 16:32:15; 28,4375; 28,1328125; 29,96875; 29,90625; 30,3046875; 29,9609375; 30,125; 27,34375
20; 2023/10/10; 16:32:25; 29,0078125; 28,7890625; 30,1875; 30,1484375; 30,5234375; 30,2265625; 30,3984375; 27,859375
