Line;Date;Time;T INA SPECTRO (degC);T INA OSCAR (degC);T INA MOTORS (degC);T INA BATT (degC);T INA DC_BUS (degC);T INA Q7 (degC);T INA 5V (degC);T INA 3V3 (degC)
0;2023/10/11;15:45:43;33,015625;32,4375;35,8828125;35,921875;36,140625;35,9140625;36,0390625;32,390625
1;2023/10/11;15:45:52;33,078125;32,4765625;35,9140625;35,9296875;36,15625;35,9296875;36,0546875;32,4296875
2;2023/10/11;15:46:02;33,125;32,5546875;35,953125;35,9453125;36,2109375;35,9609375;36,109375;32,46875
3;2023/10/11;15:46:12;33,1796875;32,703125;36,09375;35,9921875;36,328125;36,046875;36,203125;32,5703125
4;2023/10/11;15:46:22;33,2421875;32,8671875;36,171875;36,0546875;36,375;36,1015625;36,3046875;32,6171875
5;2023/10/11;15:46:32;33,3046875;32,953125;36,265625;36,1484375;36,4765625;36,1875;36,4140625;32,7109375
6;2023/10/11;15:46:42;33,375;33,0390625;36,375;36,2578125;36,6015625;36,3046875;36,515625;32,78125
7;2023/10/11;15:46:52;33,4375;33,140625;36,4765625;36,3515625;36,6875;36,40625;36,6484375;32,875
8;2023/10/11;15:47:02;33,46875;33,1328125;36,5;36,4453125;36,7265625;36,4921875;36,671875;32,921875
9;2023/10/11;15:47:12;33,546875;33,0546875;36,4921875;36,4921875;36,7578125;36,515625;36,6640625;32,90625
10;2023/10/11;15:47:22;33,53125;33,015625;36,515625;36,53125;36,78125;36,5390625;36,671875;32,890625
11;2023/10/11;15:47:32;33,515625;32,9765625;36,5078125;36,578125;36,8203125;36,546875;36,703125;32,890625
12;2023/10/11;15:47:42;33,515625;32,9609375;36,5546875;36,6015625;36,8125;36,5859375;36,7265625;32,890625
13;2023/10/11;15:47:52;33,5546875;32,953125;36,59375;36,6171875;36,8671875;36,609375;36,7265625;32,890625
14;2023/10/11;15:48:02;33,5390625;32,9453125;36,578125;36,609375;36,8671875;36,609375;36,7421875;32,890625
15;2023/10/11;15:48:12;33,5390625;32,953125;36,625;36,625;36,890625;36,625;36,734375;32,8984375
16;2023/10/11;15:48:22;33,5625;32,953125;36,6015625;36,640625;36,9140625;36,6328125;36,7578125;32,8984375
17;2023/10/11;15:48:32;33,578125;32,9609375;36,65625;36,671875;36,921875;36,65625;36,796875;32,8984375
18;2023/10/11;15:48:42;33,578125;32,953125;36,65625;36,6953125;36,9609375;36,671875;36,796875;32,90625
19;2023/10/11;15:48:52;33,5859375;32,9609375;36,6640625;36,6953125;36,9609375;36,6953125;36,7890625;32,9140625
20;2023/10/11;15:49:02;33,6328125;32,9609375;36,6640625;36,703125;36,96875;36,7109375;36,8359375;32,9296875
21;2023/10/11;15:49:12;33,6328125;32,9765625;36,671875;36,71875;37,015625;36,7265625;36,828125;32,9296875
22;2023/10/11;15:49:22;33,625;32,96875;36,6875;36,703125;37,0234375;36,71875;36,828125;32,9296875
23;2023/10/11;15:49:32;33,65625;32,984375;36,703125;36,734375;37,0234375;36,7421875;36,890625;32,921875
24;2023/10/11;15:49:42;33,6328125;32,984375;36,703125;36,75;37,03125;36,7578125;36,8828125;32,9453125
25;2023/10/11;15:49:52;33,640625;32,984375;36,703125;36,7578125;37,0546875;36,78125;36,890625;32,953125
26;2023/10/11;15:50:02;33,671875;33,0;36,734375;36,78125;37,0546875;36,796875;36,90625;32,953125
27;2023/10/11;15:50:12;33,6796875;33,0078125;36,7421875;36,8203125;37,0703125;36,828125;36,9375;32,9609375
28;2023/10/11;15:50:22;33,6484375;33,0234375;36,7421875;36,828125;37,0859375;36,8203125;36,9609375;32,9609375
29;2023/10/11;15:50:32;33,65625;33,0234375;36,75;36,8359375;37,09375;36,84375;36,9609375;32,96875
30;2023/10/11;15:50:42;33,65625;33,015625;36,7890625;36,859375;37,109375;36,8515625;36,9921875;32,9765625
31;2023/10/11;15:50:52;33,703125;33,0390625;36,765625;36,859375;37,109375;36,8515625;37,0;32,9765625
